project_id,project_name,dept_id,budget
P1,Apollo,1,200000
P2,Orbit,2,120000
P3,Helpdesk,3,80000
P4,Falcon,1,150000
P5,Atlas,11,204000
P6,Nova,8,204000
P7,Zephyr,11,115000
P8,Quasar,11,105000
P9,Titan,6,216000
P10,Comet,14,231000
P11,Vortex,14,255000
P12,Pegasus,9,52000
P13,Cobalt,12,177000
P14,Horizon,7,46000
P15,Phoenix,1,93000
P16,Aurora,6,96000
P17,Granite,3,148000
P18,Meridian,7,118000
P19,Catalyst,5,135000
P20,Beacon,5,186000
P21,Cipher,13,287000
P22,Drift,11,59000
P23,Echo,1,109000
P24,Fusion,15,216000
P25,Glacier,2,60000
P26,Harbor,7,269000
P27,Ignite,15,111000
P28,Juniper,5,177000
P29,Kestrel,13,257000
P30,Lumen,1,224000
P31,Mosaic,13,282000
P32,Nimbus,12,288000
P33,Onyx,15,121000
P34,Pulsar,14,187000
P35,Quartz,9,285000
P36,Radiant,8,187000
P37,Summit,8,237000
P38,Tempo,4,67000
P39,Umbra,11,148000
P40,Vertex,6,265000
P41,Willow,3,55000
P42,Xenon,10,88000
P43,Yonder,14,69000
P44,Zenith,1,253000
P45,Anchor,4,176000
P46,Boreal,11,275000
P47,Cascade,5,81000
P48,Delta,9,47000
P49,Ember,14,175000
P50,Forge,15,108000
P51,Gale,1,118000
P52,Helix,3,139000
P53,Indigo,1,201000
P54,Jet,13,284000
P55,Krypton,15,216000
P56,Lattice,8,167000
P57,Monsoon,4,261000
P58,Nexus,9,135000
P59,Orbital,15,296000
P60,Prism,14,285000
P61,Quill,7,216000
P62,Ripple,8,224000
P63,Solstice,12,222000
P64,Tundra,6,111000
P65,Ultra,6,300000
P66,Vanguard,7,205000
P67,Wavelength,7,224000
P68,Apex,1,258000
P69,Bolt,13,236000
P70,Crest,5,296000
P71,Dynamo,8,125000
P72,Eclipse,11,245000
P73,Flux,5,282000
P74,Gamma,2,154000
P75,Helios,1,66000
